"Species","Season","Site","City","Long","Lat","Crs","Y","J"
"raccoon","JA17","S04-HAP1","chil",-87.77935426,41.7803347,4326,0,30
"raccoon","JA17","S04-OTW1","chil",-87.80373503,41.81511794,4326,23,30
"raccoon","JA17","S04-SSP1","chil",-87.79732651,41.79931501,4326,0,20
"raccoon","JA17","S05-LNC1","chil",-87.84473133,41.74274601,4326,7,29
"raccoon","JA17","S05-RES1","chil",-87.82363466,41.76135893,4326,0,15
"raccoon","JA17","S05-SFP0","chil",-87.858986115,41.758854845,4326,3,29
"raccoon","JA17","S06-CBW0","chil",-87.89252291,41.72879771,4326,2,29
"raccoon","JA17","S07-ARG1","chil",-87.97052731,41.71888815,4326,7,29
"raccoon","JA17","S07-ARG2","chil",-87.98063145,41.70899378,4326,6,29
"raccoon","JA17","S07-STJ1","chil",-87.93211936,41.69819734,4326,4,15
"raccoon","JA17","S08-WGL1","chil",-87.99914707,41.69378812,4326,5,29
"raccoon","JA17","S08-WGL3","chil",-87.9590198557433,41.704560101191,4326,0,0
"raccoon","JA17","S09-KTP1","chil",-88.03380771,41.6782417,4326,22,29
"raccoon","JA17","S09-SMC1","chil",-88.01264245,41.65701595,4326,4,30
"raccoon","JA17","S09-VTW0","chil",-88.05987667,41.67081215,4326,6,29
"raccoon","JA17","S10-ILC1","chil",-88.06930047,41.63776364,4326,18,29
"raccoon","JA17","S10-LEW1","chil",-88.07710241,41.5993927,4326,1,29
"raccoon","JA17","S10-LPC1","chil",-88.04816511,41.5915763,4326,15,29
"raccoon","JA17","S10-LPP0","chil",-88.07212554,41.58289314,4326,3,29
"raccoon","AP17","C04-MBP1","chil",-87.57339472,41.71308499,4326,0,0
"raccoon","AP17","C05-BEA1","chil",-87.58721191,41.65419878,4326,12,36
"raccoon","AP17","C05-BMP1","chil",-87.57510693,41.69479206,4326,0,0
"raccoon","AP17","C05-BMP2","chil",-87.56486107,41.6857457,4326,0,0
"raccoon","AP17","C05-EGG1","chil",-87.52634943,41.68809924,4326,1,35
"raccoon","AP17","C05-SPA1","chil",-87.5635175470222,41.6680983277148,4326,0,0
"raccoon","AP17","C06-BEA2","chil",-87.58174014,41.64524646,4326,0,0
"raccoon","AP17","C06-HMP1","chil",-87.56991671,41.65680784,4326,0,0
